OrderColecta	NSiembra	Origen	Raza	Estado	Num_Colecta	Nombre_comun	Raza_Primaria	Raza_Secundaria	AÃ±o._de_colecta	Localidad	Municipio	Estado.1	Longitud	Latitud	Altitud	Ruizetal2008_grupo	Sanchezetal_grupo	Categ.Altitud	Rbiogeo	DivFloristic	PeralesBiog
2	6	INIFAP-2009-415	Azul	Chihuahua	415	Apachito y azul	Azul	NA	2009	Las Varas	Temosachic	Chihuahua	-108.0152222	28.45538889	2215	1A_templado540-640mm	Sierra de Chihuahua	high	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
1	101	2009-142	CÃ_nico	Tlaxcala	142	Blanco	CÃ_nico	NA	2009	Cerca de Capula	Tetla	Tlaxcala	-98.04833333	19.51888889	2557	1B_templado>650mm	CÃ_nico	high	Eje Volcanico	Altiplanicie	Mesa Centra
1	27	2009-232	Ancho	Estado de MÃ©xico	2009-232	Ancho	Ancho	NA	2009	Carretera San Juan Tepeoculco	Atlautla	Estado de MÃ©xico	-98.77861111	18.9975	2226	4_Jala	Ocho Hileras	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
1	43	2009-46	CÃ_nico	Estado de MÃ©xico	2009-046	Amarillo Zanahoria	CÃ_nico	NA	2009	Colonia Libertad	Santacruz AtizapÃ¡n	Estado de MÃ©xico	-99.50972222	19.18472222	2585	1B_templado>650mm	CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
2	1	INIFAP-2009-2	Apachito	Chihuahua	2	Perlilla	Apachito	NA	2009	Tres Ojitos	Madera	Chihuahua	-108.0796111	29.11311111	2106	1A_templado540-640mm	Sierra de Chihuahua	high	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
2	33	INIFAP-2009-14	Cristalino de Chihuahua	Chihuahua	14	Maiz blanco	Cristalino de Chihuahua	NA	2009	La Cantera	Cusihuiriachi	Chihuahua	-106.8788889	28.19322222	2094	1A_templado540-640mm	Sierra de Chihuahua	high	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
1	100	2007-OPV087	Blando de Sonora	Sinaloa	SIN-2007-087	MaÃ_z Blando	Blando de Sonora	NA	2007	Chinobampo	El Fuerte 	Sinaloa	-108.3833333	26.39472222	299	2A_semicalido500-870mm	Ocho Hileras	low	Costa del Pacifico	Costa Pacifica	Sierras del
2	24	INIFAP-2009-3	CÃ_nico NorteÃ±o	Chihuahua	3	Pepitillo blanco	CÃ_nico NorteÃ±o	NA	2009	Bustillos	Cuauhtemoc	Chihuahua	-106.63225	28.49672222	2010	1B_templado>650mm	CÃ_nico	high	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
1	103	2009-63	Elotes Occidentales	Estado de MÃ©xico	2009-063	MaÃ_z Negro o Gringas	Elotes Occidentales	NA	2009	El PeÃ±Ã_n	Temascaltepec	Estado de MÃ©xico	-100.1083333	19.04388889	1779	2C_semicalido740-855mm y 1B_templado>650mm	Ocho Hileras	mid	Eje Volcanico	Depresion del Balsas	Cordillera
1	72	2009-89	CÃ_nico	Hidalgo	89	MaÃ_z negro	CÃ_nico 	NA	2009	Ejido Cerro Alto	Agua Blanca	Hidalgo	-98.37861111	20.33166667	2059	1B_templado>650mm	CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
2	10	INIFAP-2009-38	Bofo	Chihuahua	38	Pozolero y azul	Bofo	NA	2009	Cuiteco	Urique	Chihuahua	-108.0082222	27.43477778	1734	2A_semicalido500-870mm	Ocho Hileras	mid	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
2	28	Pue-2010-255	Coscomatepec	Puebla	255	Criollo blanco	Coscomatepec	NA	2010	Equimita	Cuetzalan	Puebla	-97.56488889	19.96466667	1604		MaduraciÃ_n tardÃ_a	mid	Sierra Madre Oriental	Sierra Madre Oriental	Complejo de
2	49	Celaya-2009-49	Mushito	Guanajuato	2009-JAAG-049	MaÃ_z garambulla blanca	Mushito	NA	2009	Cerro Prieto	Atarjea	Guanajuato	-99.805	21.2775	1850	1C_templado>1000mm	CÃ_nico	mid	Sierra Madre Oriental	Altiplanicie	Planicies d
1	56	2009-85	Elotes CÃ_nicos	Estado de MÃ©xico	2009-085	Negro	Elotes CÃ_nicos	NA	2009	Emiliano Zapata	Ixtlahuaca	Estado de MÃ©xico	-99.79111111	19.56944444	2538		CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
1	66	2009-58	Elotes CÃ_nicos	Tlaxcala	58	Azul	Elotes CÃ_nicos	NA	2009	A 5 km direcciÃ_n Este	Huamantla	Tlaxcala	-97.9725	19.32166667	2621		CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
2	52	Ig-2010-238	Nal-tel de Altura	Oaxaca	OAX-400	Criollo	Nal-tel de Altura	NA	1970	Finca Carlota	San Bartolome Ayautla	Oaxaca	-96.73333333	18.01666667	1250	3A_muycalido990-1360mm	Dentados tropicales	mid	Golfo de Mexico	Valle de Tehuacan	Complejo de
2	47	Ig-2010-294	Jala	Nayarit	2003-2	Criollo	Jala	NA	2003	Jomulco	Jala	Nayarit	-104.4286944	21.10166667	1153	2A_semicalido500-870mm y 4_Jala	Ocho Hileras	mid	Costa del Pacifico	Serranias Meridionales	Sierras del
1	80	2009-39	Comiteco	Chiapas	39	Napalu amarillo	Comiteco	NA	2009	Ejido Suchiapa	Suchiapa	Chiapas	-93.09966667	16.62313889	455	1C_templado>1000mm	MaduraciÃ_n tardÃ_a	low	Costa del Pacifico	Costa Pacifica	Chiapas
1	65	2009-39	Elotes CÃ_nicos	Tlaxcala	39	Azul Criollo	Elotes CÃ_nicos	NA	2008	Francisco Javier Mina	Trinidad SÃ¡nchez Santos	Tlaxcala	-97.92472222	19.19055556	2640		CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
1	94	2009-60	Pepitilla	Estado de MÃ©xico	2009-060	Menudito	Pepitilla	NA	2009	San Pedro Temeyac	Temascaltepec	Estado de MÃ©xico	-100.1686111	19.0525	1830	2C_semicalido740-855mm	Dentados tropicales	mid	Eje Volcanico	Depresion del Balsas	Cordillera
2	36	Ig-2010-103	Dulce	Chihuahua	CHIH-235	Dulce	Dulce	NA	1969	Moris	Moris	Chihuahua	-108.5333333	28.13333333	950	2B_semicalido450-620mm	CÃ_nico	low	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
2	26	Ig-2010-245	Coscomatepec	Veracruz	VER-54A		Coscomatepec	NA	1948	EL PALMAR	TEZONAPA	Veracruz	-96.78333333	18.5	201		MaduraciÃ_n tardÃ_a	low	Golfo de Mexico	Serranias Meridionales	Complejo de
1	105	2009-09	Mushito	B.C.S.	2009-09	MaÃ_z Morado	Mushito	NA	2009	MulegÃ©	MulegÃ©	B.C.S.	-111.9864167	26.89047222	5	1C_templado>1000mm	CÃ_nico	low	Baja California	Baja California	BC y Noroes
1	30	2009-236	Ancho	Estado de MÃ©xico	2009-236	Ancho	Ancho	NA	2009	San AndrÃ©s Tlalamac	Atlautla	Estado de MÃ©xico	-98.80944444	18.96805556	2073	4_Jala	Ocho Hileras	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
1	16	2007-054	Elotero de Sinaloa	Sinaloa	SIN-2007-054	Negro	Elotero de Sinaloa	NA	2007	Agua Zarca	El Rosario	Sinaloa	-105.5463889	22.88972222	220		Chapalote	low	Costa del Pacifico	Costa Pacifica	Sierras del
2	42	Celaya-2009-9	Elotes Occidentales	Guanajuato	2009-REPO-009	MaÃ_z Criollo	Elotes Occidentales	NA	2009	Palmillas de San Juan	Comonfort	Guanajuato	-100.8147222	20.78444444	1854	2C_semicalido740-855mm y 1B_templado>650mm	Ocho Hileras	mid	Eje Volcanico	Altiplanicie	Mesa del No
1	4	2008-26	Chapalote	Sonora	SON2007-065	Reventador	Chapalote	NA	2008	HuÃ¡sabas	HuÃ¡sabas	Sonora	-109.2996667	29.90441667	537	2A_semicalido500-870mm y 1B_templado>650mm	Chapalote	low	Sonorense	Planicie Costera del Noroeste	Sierras del
1	31	2009-41	Cacahuacintle	Estado de MÃ©xico	2009-041	Cacahuacintle	Cacahuacintle	NA	2009	San Pedro TlaltizapÃ¡n	Santiago Tianguistenco	Estado de MÃ©xico	-99.50888889	19.19638889	2585	1B_templado>650mm	CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
2	17	Chis-2009-80	Tepecintle	Chiapas	Chis-2009-80 Repetido		Tepecintle	NA	2009	Vicente Guerrero	Salto de Agua	Chiapas	-92.08888889	17.32222222	120	3A_muycalido990-1360mm	Dentados tropicales	low	Golfo de Mexico	Costa del Golfo de Mexico	Chiapas
2	46	Ig-2010-201	Jala	Nayarit	NAY-129	Criollo	Jala	NA	1951	Jala	Jala	Nayarit	-104.4405556	21.1	1060	2A_semicalido500-870mm y 4_Jala	Ocho Hileras	mid	Costa del Pacifico	Serranias Meridionales	Sierras del
2	5	Pue-2009-718	Arrocillo	Puebla	717	MaÃ_z blanco	Arrocillo	NA	2010	EloxotitlÃ¡n	ZacatlÃ¡n	Puebla	-97.98080556	19.93408333	2159	1C_templado>1000mm	CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
1	32	2009-49	Cacahuacintle	Estado de MÃ©xico	2009-049	Cacahuacintle	Cacahuacintle	NA	2009	Calimaya	Calimaya	Estado de MÃ©xico	-99.61805556	19.1675	2700	1B_templado>650mm	CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
2	19	Ig-2010-168	Complejo Serrano de Jalisco	Jalisco	JAL-825	MAIZ ROJO	Complejo Serrano de Jalisco	NA	9999	LLANO OJO ZARCO	TAPALPA	Jalisco	-103.6666667	19.93333333	2160		Sierra de Chihuahua	high	Eje Volcanico	Serranias Meridionales	Cordillera
2	50	Celaya-2009-62	Mushito	Guanajuato	2009-JAAG-062	MaÃ_z Criollo blanco	Mushito	NA	2009	Derramaderos	Victoria	Guanajuato	-100.13722	21.3575	2500	1C_templado>1000mm	CÃ_nico	high	Altiplano Sur (Zacatecano-Potosino)	Altiplanicie	Mesa del No
2	8	INIFAP-2009-416	Azul	Chihuahua	416	Azul y blanco	Azul	NA	2009	Las Varas	Temosachic	Chihuahua	-108.0157778	28.45730556	2220	1A_templado540-640mm	Sierra de Chihuahua	high	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
2	34	INIFAP-2009-17	Cristalino de Chihuahua	Chihuahua	17	Ocho carreras y temporalero	Cristalino de Chihuahua	NA	2009	Guadalupe	Guerrero	Chihuahua	-107.4748056	28.50283333	2034	1A_templado540-640mm	Sierra de Chihuahua	high	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
2	23	Guerrero-2008-25	Conejo	Guerrero	25	Amarillo	Conejo	NA	2008	San Gabriel	OlinalÃ¡	Guerrero	-98.74188889	17.77797222	1685		Tropicales precoces	mid	Depresion del Balsas	Depresion del Balsas	Cordillera
2	54	INIFAP-2009-220	Palomero de Chihuahua	Chihuahua	220	Maiz amarillo	Palomero de Chihuahua	NA	2009	Puerto Los Chiles	Balleza	Chihuahua	-106.4436667	26.35983333	2769		CÃ_nico	NA	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
2	14	Celaya-2009-118	Celaya	Guanajuato	2009-REPO-118	MaÃ_z Criollo	Celaya	NA	2009	EjidoTuna Mansa	Silao	Guanajuato	-101.4052778	21.00861111	1823	2A_semicalido500-870mm y 1B_templado>650mm	Dentados tropicales	mid	Altiplano Sur (Zacatecano-Potosino)	Altiplanicie	BajÂ¡o
1	37	2009-150	ChalqueÃ±o	Estado de MÃ©xico	2009-150	Criollo Blanco	ChalqueÃ±o	NA	2009	San Lorenzo Oyamel	Temoaya	Estado de MÃ©xico	-99.59527778	19.41808889	2595		CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
2	25	INIFAP-2009-4	CÃ_nico NorteÃ±o	Chihuahua	4	Tulancingo blanco	CÃ_nico NorteÃ±o	NA	2009	Bustillos	Cuauhtemoc	Chihuahua	-106.6291111	28.49488889	2010	1B_templado>650mm	CÃ_nico	high	Sierra Madre Occidental	Sierra Madre Occidental	CaÂ_ones Chi
1	55	2009-81	Elotes CÃ_nicos	Estado de MÃ©xico	2009-081	Negro	Elotes CÃ_nicos	NA	2009	San Diego Suchitepec	Villa  Victoria	Estado de MÃ©xico	-100.0255556	19.49083333	2576		CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
2	40	Chis-2009-31	Dzit-Bacal	Chiapas	Repetida 31	MaÃ_z olotillo	Dzit-Bacal	NA	2009	Ejido El Parral	Villacorzo	Chiapas	-93.00194444	16.36402778	654	3A_muycalido990-1360mm	MaduraciÃ_n tardÃ_a	low	Costa del Pacifico	Costa Pacifica	Chiapas
1	29	2009-235	Ancho	Estado de MÃ©xico	2009-235	Ancho Amarillo	Ancho	NA	2009	Carretera San Juan Tepeoculco	Atlautla	Estado de MÃ©xico	-98.77861111	18.9975	2226	4_Jala	Ocho Hileras	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
1	60	2009-6	CÃ_nico	Tlaxcala	6	Amarillo Criollo	CÃ_nico	NA	2008	El  Carmen Tequexquitla	El  Carmen Tequexquitla	Tlaxcala	-97.65222222	19.31916667	2358	1B_templado>650mm	CÃ_nico	high	Eje Volcanico	Altiplanicie	Mesa Centra
1	44	2009-78	CÃ_nico	Estado de MÃ©xico	2009-078	Amarillo	CÃ_nico	NA	2009	El Espinal	Villa  Victoria	Estado de MÃ©xico	-100.0627778	19.46055556	2605	1B_templado>650mm	CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
1	74	2009-81	Elotes CÃ_nicos	Hidalgo	81	MaÃ_z negro	Elotes CÃ_nicos	NA	2009	RancherÃ_a Chichicaxtle	Agua Blanca	Hidalgo	-98.37388889	20.35888889	2104		CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
1	89	2007-31	Elotero de Sinaloa	Sinaloa	SIN-2007-031	Negro  	Elotero de Sinaloa	NA	2007	La Guayanera	Concordia	Sinaloa	-105.8916667	23.40611111	929		Chapalote	low	Costa del Pacifico	Costa Pacifica	Sierras del
1	64	2009-159	Cacahuacintle	Tlaxcala	159	Azul	Cacahuacintle	NA	2009	"Atotonilco, a 5 km hacia el este"	Tlaxco	Tlaxcala	-98.05666667	19.59972222	2745	1B_templado>650mm	CÃ_nico	high	Eje Volcanico	Altiplanicie	Mesa Centra
1	83	2009-135	Nal-tel de Altura	Chiapas	135	Morado	Nal-tel de Altura	NA	2009	Guayamuses	Independencia	Chiapas	-91.97688889	16.23319444	1551	3A_muycalido990-1360mm	Dentados tropicales	mid	Los Altos de Chiapas	Serranias Transismicas	Chiapas
1	75	2009-87	Elotes CÃ_nicos	Hidalgo	87	Negro	Elotes CÃ_nicos	NA	2009	"Calabazas, Prinera SecciÃ_n"	Agua Blanca	Hidalgo	-98.37555556	20.35472222	2081		CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
1	92	2008-45	Gordo	Sonora	SON2007-084	MaÃ_z Blando	Gordo	NA	2008	Mesa de Tres RÃ_os	NÃ¡cori Chico	Sonora	-108.7097222	29.84027778	1880	1A_templado540-640mm	Sierra de Chihuahua	mid	Sierra Madre Occidental	Sierra Madre Occidental	BC y Noroes
1	69	2009-85	Cacahuacintle	Hidalgo	85	Cachuacintle	Cacahuacintle	NA	2009	Loma Ancha	Agua Blanca	Hidalgo	-98.43111111	20.33916667	2133	1B_templado>650mm	CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
1	84	2009-136	Nal-tel de Altura	Chiapas	136	Pinto	Nal-tel de Altura	NA	2009	Campamento	Independencia	Chiapas	-91.91638944	16.21563917	1552	3A_muycalido990-1360mm	Dentados tropicales	mid	Los Altos de Chiapas	Serranias Transismicas	Chiapas
1	76	2009-136	Olotillo	Hidalgo	136	Criollo blanco o pilchipahuak	Olotillo	NA	2009	Ixtlahuatempa	Huejutla	Hidalgo	-98.43611111	21.13333333	225	3A_muycalido990-1360mm	MaduraciÃ_n tardÃ_a	low	Golfo de Mexico	Costa del Golfo de Mexico	Planicies d
2	97	Pue-2009-731	Arrocillo	Puebla	731	MaÃ_z negro	Arrocillo	NA	2010	Foxcoatzingo	ZacatlÃ¡n	Puebla	-97.97941667	19.95577778	2104	1C_templado>1000mm	CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
1	70	2009-111	ChalqueÃ±o	Hidalgo	111	Criollo mejorado	ChalqueÃ±o	NA	2009	Rancho San Antonio Texas	Metepec	Hidalgo	-98.33722222	20.22138889	2068		CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
1	85	2009-192	OlotÃ_n	Chiapas	192	Criollo amarillo	OlotÃ_n	NA	2009	Ejido Benito JuÃ¡rez	Motozintla	Chiapas	-92.3145	15.36608333	2057	1C_templado>1000mm	MaduraciÃ_n tardÃ_a	high	Soconusco	Serranias Transismicas	Chiapas
1	77	2009-152	Olotillo	Hidalgo	152	MaÃ_z blanco hueyi chipahuak	Olotillo	NA	2006	Tenexco I	Atlapexco	Hidalgo	-98.34638889	21.06388889	194	3A_muycalido990-1360mm	MaduraciÃ_n tardÃ_a	low	Golfo de Mexico	Costa del Golfo de Mexico	Planicies d
1	71	2009-112	ChalqueÃ±o	Hidalgo	112	Criollo blanco	ChalqueÃ±o	NA	2009	San Juan Hueyapan	Cuautepec de Hinojosa	Hidalgo	-98.28055556	20.02972222	2136		CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
1	86	2009-197	OlotÃ_n	Chiapas	197	MaÃ_z amarillo	OlotÃ_n	NA	2009	Barrio Tenan	Motozintla	Chiapas	-92.29358333	15.36011111	1828	1C_templado>1000mm	MaduraciÃ_n tardÃ_a	mid	Soconusco	Serranias Transismicas	Chiapas
1	78	2009-18	Olotillo	Chiapas	18	Olotillo crema	Olotillo	NA	2009	Nuevo Vicente Guerrero	Villacorzo	Chiapas	-92.97972222	16.03225	618	3A_muycalido990-1360mm	MaduraciÃ_n tardÃ_a	low	Costa del Pacifico	Serranias Transismicas	Chiapas
1	102	2009-73	Elotes CÃ_nicos	Hidalgo	73	Xocoyul	Elotes CÃ_nicos	NA	2009	RancherÃ_a Potrero de Monroy	Agua Blanca	Hidalgo	-98.38333333	20.3975	1698		CÃ_nico	mid	Sierra Madre Oriental	Sierra Madre Oriental	Planicies d
1	73	2009-105	CÃ_nico	Hidalgo	105	Blanco	CÃ_nico	NA	2009	Nopalillo	Metepec	Hidalgo	-98.29111111	20.24333333	2144	1B_templado>650mm	CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
1	88	2007-26	Elotero de Sinaloa	Sinaloa	SIN-2007-026	MaÃ_z negro	Elotero de Sinaloa	NA	2007	Santa Catarina	Concordia	Sinaloa	-106.0816667	23.43083333	209		Chapalote	low	Costa del Pacifico	Costa Pacifica	Sierras del
1	79	2009-31	Olotillo	Chiapas	31	MaÃ_z olotillo	Olotillo	NA	2009	Ejido El Parral	Villacorzo	Chiapas	-93.00194444	16.36402778	654	3A_muycalido990-1360mm	MaduraciÃ_n tardÃ_a	low	Costa del Pacifico	Costa Pacifica	Chiapas
1	106	2009-61	Pepitilla	Estado de MÃ©xico	2009-061	Ancho Amarillo	Pepitilla	NA	2009	El PeÃ±Ã_n	Temascaltepec	Estado de MÃ©xico	-100.1083333	19.04388889	1779	2C_semicalido740-855mm	Dentados tropicales	mid	Eje Volcanico	Depresion del Balsas	Cordillera
1	119	2006-20	Tabloncillo	Sinaloa	SIN-2006-020	PlataneÃ±o	Tabloncillo	NA	2006	Maloya	El Rosario	Sinaloa	-105.6068056	22.94927778	113	2C_semicalido740-855mm	Ocho Hileras	low	Costa del Pacifico	Costa Pacifica	Sierras del
2	148	Celaya-2009-101	Celaya	Guanajuato	2009-REPO-101	MaÃ_z Criollo	Celaya	NA	2009	San JosÃ© de Araceo	Valle de Santiago	Guanajuato	-101.1611111	20.37416667	1750	2A_semicalido500-870mm y 1B_templado>650mm	Dentados tropicales	mid	Eje Volcanico	Altiplanicie	BajÂ¡o
1	108	2008-10	Dulcillo del Noroeste	Sonora	SON2007-049	MaÃ_z Dulce	Dulcillo del Noroeste	NA	2008	Huisamopa	Sahuaripa	Sonora	-109.106	28.613	708	2A_semicalido500-870mm	Chapalote	low	Sierra Madre Occidental	Costa Pacifica	Sierras del
1	120	2007-20	Tabloncillo	Sonora	SON2007-020	Pinto Amarillo	Tabloncillo	NA	2007	La Estrella	Rosario	Sonora	-109.2448056	27.82702778	503	2C_semicalido740-855mm	Ocho Hileras	low	Sonorense	Costa Pacifica	Sierras del
2	151	Ig-2010-234	Complejo Serrano de Jalisco	Jalisco	JAL-829	CRISTALINO AMARILLO	Complejo Serrano de Jalisco	NA	NA	RANCHO EL TEPOPOTE	ATOYAC	Jalisco	-103.43833	19.92833	1920		Sierra de Chihuahua	mid	Eje Volcanico	Serranias Meridionales	Cordillera
1	134	NL-2	TuxpeÃ±o NorteÃ±o	Nuevo LeÃ_n	NL-2008-002	Blanco AlemÃ¡n	TuxpeÃ±o NorteÃ±o	NA	2008	Ejido La Petaca	Linares	Nuevo LeÃ_n	-99.53447222	24.85894444	334	2B_semicalido450-620mm	Dentados tropicales	low	Tamaulipeca	Planicie Costera del Noreste	Mesa del No
2	123	Nay-2010-85	Tabloncillo Perla	Nayarit	85	Tabloncillo cristalino	Tabloncillo Perla	NA	2010	"Palma Grande, Nayarit"	Tuxpan	Nayarit	-105.39025	21.99097222	24	2A_semicalido500-870mm	Ocho Hileras	low	Costa del Pacifico	Costa Pacifica	Sierras del
1	153	2009-99	CÃ_nico	Hidalgo	99	Criollo amarillo	CÃ_nico	NA	2009	CaÃ±ada de Flores	Metepec	Hidalgo	-98.405	20.28666667	2143	1B_templado>650mm	CÃ_nico	high	Sierra Madre Oriental	Sierra Madre Oriental	Mesa Centra
1	135	2008-31	VandeÃ±o	Sonora	SON2007-070	MaÃ_z Blanco	VandeÃ±o	NA	2008	La Estancia	Aconchi	Sonora	-110.2121667	29.79602778	610	3A_muycalido990-1360mm	Dentados tropicales	low	Sonorense	Altiplanicie	BC y Noroes
2	124	Chis-2009-175	Tehua	Chiapas	175	Quechulteco	Tehua	NA	2009	San Pablo Huacana	Ocotepec	Chiapas	-93.206	17.19680556	1545	3A_muycalido990-1360mm	MaduraciÃ_n tardÃ_a	mid	Los Altos de Chiapas	Costa del Golfo de Mexico	Chiapas
1	184	2009-263	ChalqueÃ±o	Estado de MÃ©xico	2009-263	Criollo Grande	ChalqueÃ±o	NA	2009	PahuacÃ¡n	Ayapango	Estado de MÃ©xico	-98.80388889	19.10361111	2536		CÃ_nico	high	Eje Volcanico	Serranias Meridionales	Mesa Centra
2	140	Ig-2010-225	Zamorano Amarillo	Jalisco	Jal-377	Criollo	Zamorano Amarillo	NA	1974	Zapotillo	Casimiro Castillo	Jalisco	-104.45	19.6	300	2A_semicalido500-870mm y 4_Jala	Ocho Hileras	low	Costa del Pacifico	Serranias Meridionales	Sierras del
2	125	Chis-2009-177	Tehua	Chiapas	177	Bacalito	Tehua	NA	2009	San Pablo Huacana	Ocotepec	Chiapas	-93.17527778	17.21630556	1525	3A_muycalido990-1360mm	MaduraciÃ_n tardÃ_a	mid	Los Altos de Chiapas	Serranias Transismicas	Chiapas
